"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 03 13:48:43 SAMT 2021","Mon May 03 13:48:54 SAMT 2021","11175","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditDeclinedCard","shouldNotCreditDeclinedCard()",""
"failed","Mon May 03 13:49:30 SAMT 2021","Mon May 03 13:49:32 SAMT 2021","2095","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentEmptyNumber","shouldNotPaymentEmptyNumber()",""
"passed","Mon May 03 13:49:33 SAMT 2021","Mon May 03 13:49:34 SAMT 2021","865","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentEmptyName","shouldNotPaymentEmptyName()",""
"failed","Mon May 03 13:49:06 SAMT 2021","Mon May 03 13:49:08 SAMT 2021","2164","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentEmptyMonth","shouldNotPaymentEmptyMonth()",""
"passed","Mon May 03 13:49:32 SAMT 2021","Mon May 03 13:49:33 SAMT 2021","847","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentInvalidMonth","shouldNotPaymentInvalidMonth()",""
"passed","Mon May 03 13:48:13 SAMT 2021","Mon May 03 13:48:14 SAMT 2021","856","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditEmptyName","shouldNotCreditEmptyName()",""
"passed","Mon May 03 13:49:39 SAMT 2021","Mon May 03 13:49:40 SAMT 2021","831","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentInvalidYear","shouldNotPaymentInvalidYear()",""
"passed","Mon May 03 13:48:09 SAMT 2021","Mon May 03 13:48:13 SAMT 2021","4711","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditInvalidMonth","shouldNotCreditInvalidMonth()",""
"passed","Mon May 03 13:48:33 SAMT 2021","Mon May 03 13:48:42 SAMT 2021","9707","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditAnotherCard","shouldNotCreditAnotherCard()",""
"failed","Mon May 03 13:49:08 SAMT 2021","Mon May 03 13:49:20 SAMT 2021","11153","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentDeclinedCard","shouldNotPaymentDeclinedCard()",""
"passed","Mon May 03 13:48:42 SAMT 2021","Mon May 03 13:48:43 SAMT 2021","824","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditEmptyCvc","shouldNotCreditEmptyCvc()",""
"failed","Mon May 03 13:49:34 SAMT 2021","Mon May 03 13:49:36 SAMT 2021","2169","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentEmptyYear","shouldNotPaymentEmptyYear()",""
"failed","Mon May 03 13:48:54 SAMT 2021","Mon May 03 13:48:56 SAMT 2021","2114","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditEmptyNumber","shouldNotCreditEmptyNumber()",""
"passed","Mon May 03 13:49:20 SAMT 2021","Mon May 03 13:49:30 SAMT 2021","10121","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldPaymentApprovedCard","shouldPaymentApprovedCard()",""
"failed","Mon May 03 13:48:16 SAMT 2021","Mon May 03 13:48:26 SAMT 2021","9868","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldCreditApprovedCard","shouldCreditApprovedCard()",""
"failed","Mon May 03 13:48:29 SAMT 2021","Mon May 03 13:48:32 SAMT 2021","3061","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditInvalidName","shouldNotCreditInvalidName()",""
"failed","Mon May 03 13:49:36 SAMT 2021","Mon May 03 13:49:39 SAMT 2021","3188","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentInvalidName","shouldNotPaymentInvalidName()",""
"failed","Mon May 03 13:48:26 SAMT 2021","Mon May 03 13:48:29 SAMT 2021","2217","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditEmptyMonth","shouldNotCreditEmptyMonth()",""
"passed","Mon May 03 13:49:40 SAMT 2021","Mon May 03 13:49:41 SAMT 2021","791","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentEmptyCvc","shouldNotPaymentEmptyCvc()",""
"passed","Mon May 03 13:48:56 SAMT 2021","Mon May 03 13:49:06 SAMT 2021","9982","","Payment functionality test","","ru.netology.web.test.OrderTest$PaymentTest","shouldNotPaymentAnotherCard","shouldNotPaymentAnotherCard()",""
"passed","Mon May 03 13:48:32 SAMT 2021","Mon May 03 13:48:33 SAMT 2021","850","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditInvalidYear","shouldNotCreditInvalidYear()",""
"failed","Mon May 03 13:48:14 SAMT 2021","Mon May 03 13:48:16 SAMT 2021","2175","","Credit functionality test","","ru.netology.web.test.OrderTest$CreditTest","shouldNotCreditEmptyYear","shouldNotCreditEmptyYear()",""
